Dimension,Code,Title,ParentDimension,ParentCode,ParentTitle
AGEGROUP,AGE0-4,0-4 years,,,
AGEGROUP,AGE10-14,10-14 years,,,
AGEGROUP,AGE1-4,1-4 years,,,
AGEGROUP,AGE15-19,15-19  years,,,
AGEGROUP,AGE15-24,15-24 years,,,
AGEGROUP,AGE15-44,15-44 years,,,
AGEGROUP,AGE15-49,15-49 years,,,
AGEGROUP,AGE18-19,18-19 years,,,
AGEGROUP,AGE18-24,18-24 years,,,
AGEGROUP,AGE18-49,18-49 years,,,
AGEGROUP,AGE18-50,18-50,,,
AGEGROUP,AGE20-24,20-24 years,,,
AGEGROUP,AGE20-29,20-29 years,,,
AGEGROUP,AGE20-PLUS,20+ years,,,
AGEGROUP,AGE25-29,25-29 years,,,
AGEGROUP,AGE25-34,25-34 years,,,
AGEGROUP,AGE25-PLUS,25+ years,,,
AGEGROUP,AGE30-34,30-34 years,,,
AGEGROUP,AGE30-35,30-35 years,,,
AGEGROUP,AGE30-39,30-39 years,,,
AGEGROUP,AGE35-39,35-39 years,,,
AGEGROUP,AGE35-44,35-44 years,,,
AGEGROUP,AGE40-44,40-44 years,,,
AGEGROUP,AGE40-49,40-49 years,,,
AGEGROUP,AGE45-49,45-49 years,,,
AGEGROUP,AGE45-59,45-59 years,,,
AGEGROUP,AGE50-54,50-54 years,,,
AGEGROUP,AGE55-59,55-59 years,,,
AGEGROUP,AGE5-9,5-9 years,,,
AGEGROUP,AGE60-64,60-64 years,,,
AGEGROUP,AGE65-69,65-69 years,,,
AGEGROUP,AGE70-74,70-74 years,,,
AGEGROUP,AGE75-79,75-79 years,,,
AGEGROUP,AGE80+,80+ years,,,
AGEGROUP,AGE80-84,80-84 years,,,
AGEGROUP,AGE85PLUS,85+ years,,,
AGEGROUP,AGEAll,Total (All ages),,,
AGEGROUP,AGELT1,<1 year,,,
AGEGROUP,DAYS0-27,0-27 days,,,
AGEGROUP,MONTHS1-59,1-59 months,,,
AGEGROUP,YEARS00-01,0-1 years,,,
AGEGROUP,YEARS00-04,0-4 years,,,
AGEGROUP,YEARS01-14,1-14 years,,,
AGEGROUP,YEARS02-05,2-5 years,,,
AGEGROUP,YEARS02-14,2-14 years,,,
AGEGROUP,YEARS0-4,0-4 years,,,
AGEGROUP,YEARS05-09,5-9 years of age,,,
AGEGROUP,YEARS05-14,5-14 years,,,
AGEGROUP,YEARS05-17,5-17 years,,,
AGEGROUP,YEARS05-19,5-19  years,,,
AGEGROUP,YEARS10-14,10-14 years of age,,,
AGEGROUP,YEARS10-19,10-19 years of age,,,
AGEGROUP,YEARS10-29,10-29 years,,,
AGEGROUP,YEARS15-19,15-19 years,,,
AGEGROUP,YEARS15-24,15-24 years of age,,,
AGEGROUP,YEARS15-29,15-29  years,,,
AGEGROUP,YEARS15-69,15-69 years,,,
AGEGROUP,YEARS18-29,18-29 years,,,
AGEGROUP,YEARS18-PLUS,18+  years,,,
AGEGROUP,YEARS20-49,20-49 years,,,
AGEGROUP,YEARS25-34,25-34 years of age,,,
AGEGROUP,YEARS30-39,30-39  years,,,
AGEGROUP,YEARS30-49,30-49 years of age,,,
AGEGROUP,YEARS35-44,35-44 years of age,,,
AGEGROUP,YEARS40-49,40-49  years,,,
AGEGROUP,YEARS45-54,45-54 years,,,
AGEGROUP,YEARS50-59,50-59  years,,,
AGEGROUP,YEARS50-69,50-69 years,,,
AGEGROUP,YEARS50PLUS,50+ years of age,,,
AGEGROUP,YEARS55-64,55-64 years,,,
AGEGROUP,YEARS60-69,60-69  years,,,
AGEGROUP,YEARS65-74,65-74 years,,,
AGEGROUP,YEARS70+,70 plus  years of age (please delete. It does not work with menu.xml),,,
AGEGROUP,YEARS70-79,70-79 years,,,
AGEGROUP,YEARS75-84,75-84 years,,,
AGEGROUP,YEARS80PLUS,80+ years,,,
AGEGROUP,YEARS85PLUS,85+ years of age,,,
AGEGROUP,YEARSALL,Total (All ages),,,
AGEGROUP,YEARSUNDER5,<5 years,,,
